Nomor,Jenis sampel,Kode Sampel,Sensor1,Sensor2,Sensor3,Sensor4
1,Kunyit putih,CZ1-1,"8,90","9,90","2,40","3,50"
2,Kunyit putih,CZ1-2,"9,00","10,20","2,50","3,80"
3,Kunyit putih,CZ1-3,"8,80","9,60","3,00","3,60"
4,Kunyit putih,CZ1-4,"8,50","9,80","2,50","3,60"
5,Kunyit putih,CZ1-5,"8,80","10,20","2,60","3,50"
6,Kunyit putih,CZ1-6,"9,30","10,50","3,00","4,00"
7,Kunyit putih,CZ1-7,"9,00","9,90","2,40","3,80"
8,Kunyit putih,CZ1-8,"8,80","9,80","3,20","3,60"
9,Kunyit putih,CZ1-9,"8,90","10,20","2,40","3,40"
10,Kunyit putih,CZ1-10,"9,20","10,30","3,20","3,60"
11,Kunyit putih,CZ2-1,"8,60","10,25","2,50","3,65"
12,Kunyit putih,CZ2-2,"8,80","10,30","2,60","3,75"
13,Kunyit putih,CZ2-3,"9,00","10,45","3,00","3,80"
14,Kunyit putih,CZ2-4,"9,20","9,85","3,20","4,00"
15,Kunyit putih,CZ2-5,"8,80","9,90","2,60","3,50"
16,Kunyit putih,CZ2-6,"8,60","10,00","3,00","4,00"
17,Kunyit putih,CZ2-7,"8,70","10,30","3,20","3,60"
18,Kunyit putih,CZ2-8,"9,00","10,35","2,80","3,80"
19,Kunyit putih,CZ2-9,"9,20","10,40","2,90","4,00"
20,Kunyit putih,CZ2-10,"8,80","10,00","3,00","3,50"
21,Kunyit putih,CZ3-1,"8,90","9,50","3,50","3,60"
22,Kunyit putih,CZ3-2,"9,30","9,80","2,70","3,65"
23,Kunyit putih,CZ3-3,"9,40","10,20","2,90","3,75"
24,Kunyit putih,CZ3-4,"9,00","10,30","3,00","4,00"
25,Kunyit putih,CZ3-5,"8,60","10,45","3,20","3,80"
26,Kunyit putih,CZ3-6,"8,50","10,30","3,10","3,40"
27,Kunyit putih,CZ3-7,"9,20","9,80","2,90","3,50"
28,Kunyit putih,CZ3-8,"9,00","9,65","3,80","3,65"
29,Kunyit putih,CZ3-9,"9,30","9,40","2,40","3,85"
30,Kunyit putih,CZ3-10,"9,45","10,30","2,60","3,65"
31,Kunyit putih,CZ4-1,"9,20","10,50","3,00","3,55"
32,Kunyit putih,CZ4-2,"9,65","10,20","3,40","3,50"
33,Kunyit putih,CZ4-3,"9,45","9,85","2,90","3,65"
34,Kunyit putih,CZ4-4,"8,85","9,90","2,50","3,85"
35,Kunyit putih,CZ4-5,"9,45","10,20","3,20","4,00"
36,Kunyit putih,CZ4-6,"9,40","10,45","3,45","3,85"
37,Kunyit putih,CZ4-7,"9,50","10,40","2,85","3,55"
38,Kunyit putih,CZ4-8,"9,25","10,45","2,75","3,65"
39,Kunyit putih,CZ4-9,"8,45","10,35","2,90","3,85"
40,Kunyit putih,CZ4-10,"8,80","10,00","3,20","3,65"
41,Kunyit putih,CZ5-1,"8,90","10,20","3,00","3,60"
42,Kunyit putih,CZ5-2,"8,95","10,40","3,20","3,50"
43,Kunyit putih,CZ5-3,"9,20","10,35","3,50","3,60"
